Gene	N_mutations	Mean	Median	95CI_lower	95CI_upper	Min	Max	MSC	Source
GPHA2	16	24.4590625	26.4	1.391913852	47.52621115	0.246	37	7.621138775	1000G
GPKOW	19	11.39631579	12.66	0.644	29.77515368	0.644	24.4	4.925444234	1000G
GPM6A	3	25.43333333	23.4	18.36312807	32.5035386	20.9	32	6.297624696	1000G
GPN1	45	16.01993333	19.16	0.058	40.14300727	0.058	35	2.813333333	1000G
GPN3	17	18.794	21.4	3.051	42.64699818	3.051	34	0.526751129	1000G
GPR101	25	15.24872	17.54	0.074	37.77907215	0.074	27.3	2.87100189	1000G
GPR107	26	12.08130769	10.3065	0.076	40.18151136	0.076	33	2.87821046	1000G
GPR108	40	21.0755	23.25	1.286351357	40.86464864	0.001	35	7.240661476	1000G
GPR119	12	17.7115	21.85	0.007	44.14678055	0.007	31	2.41058309	1000G
GPR12	8	21.35375	23.85	14.710905	27.996595	6.17	28	4.921165623	1000G
GPR132	27	7.543222222	3.739	0.001	28.63695641	0.001	24.7	2.39026184	1000G
GPR135	32	19.80696875	22.25	0.045	39.76141792	0.045	32	2.766477631	1000G
GPR137	45	18.96775556	21.3	0.201	40.99495613	0.201	33	3.328746062	1000G
GPR137B	37	24.4177027	24.2	4.539206433	44.29619897	6.615	47	1.087630135	1000G
GPR137C	13	23.60153846	24	13.27762605	33.92545087	16.8	31	4.380987829	1000G
GPR139	16	22.8504375	25.15	7.842465738	37.85840926	6.237	32	2.332570859	1000G
GPR141	16	17.356625	16.785	0.148	36.29476594	0.148	29	3.137718966	1000G
GPR142	48	16.91277083	18.58	0.003	41.22965357	0.003	34	2.39703559	1000G
GPR146	32	20.44759375	22.5	1.836752795	39.05843471	5.547	42	0.06912257	1000G
GPR148	22	10.69336364	10.3935	0.131	28.15061153	0.131	24.8	3.076446125	1000G
GPR149	39	17.7995641	19.83	0.006	39.73792528	0.006	29.2	2.407196215	1000G
GPR15	27	17.13411111	20.6	0.001	43.52149891	0.001	35	2.39026184	1000G
GPR150	20	19.66715	20.5	4.521	42.90864356	4.521	39	1.080768448	1000G
GPR151	33	18.7450303	20.3	0.004	42.24431628	0.004	35	2.400422465	1000G
GPR153	40	19.486175	19.005	0.282	42.46322109	0.282	33	3.620693132	1000G
GPR155	40	22.643075	22.1	2.852448556	42.43370144	0.576	41	0.451920558	1000G
GPR156	49	14.88436735	14.65	0.01	39.57583191	0.01	32	2.420743715	1000G
GPR157	26	23.44061538	25.25	3.314209484	43.56702129	1.132	33	0.625950185	1000G
GPR158	74	21.10910811	22	3.402670098	38.81554612	0.104	33	0.659289445	1000G
GPR158-AS1	16	23.355625	24.15	12.03805359	34.67319641	11.62	29.7	3.913814622	1000G
GPR15LG	6	6.884833333	0.677	0.002	17.52655446	0.002	27.1	2.393648715	1000G
GPR160	22	15.88845455	19.065	0.323	37.53773741	0.323	28.9	3.768468809	1000G
GPR162	60	20.86341667	23.1	0.039	44.56083073	0.039	48	2.744851922	1000G
GPR171	10	18.6455	20.455	1.443998462	35.84700154	2.255	25.4	7.808866541	1000G
GPR173	17	20.33335294	19.06	1.177	41.23177925	1.177	34	6.84652804	1000G
GPR174	12	15.18325	16.175	0.908	37.20324822	0.908	35	5.876975425	1000G
GPR176	27	18.52044444	19.21	0.532	38.83649448	0.532	31	4.521764335	1000G
GPR176-DT	6	15.098	15.97	9.174573863	21.02142614	5.788	22.6	2.834619139	1000G
GPR18	17	21.72729412	22.7	1.052	46.6521712	1.052	42	6.395992438	1000G
GPR180	14	23.92714286	23.7	13.90902381	33.94526191	18.34	31	4.618950613	1000G
GPR182	54	14.94314815	13.97	0.205	39.7423086	0.205	38	3.343163201	1000G
GPR183	18	15.21538889	17.75	0.132	37.31090127	0.132	27.5	3.080050409	1000G
GPR19	16	17.51325	19.41	0.003	39.02047863	0.003	27.7	2.39703559	1000G
GPR20	38	16.39610526	18.48	0.155	39.25745687	0.155	32	3.16294896	1000G
GPR21	18	21.355	20.8	9.256255301	33.4537447	15.2	32	2.865403446	1000G
GPR22	9	20.24111111	21.1	16.26035933	24.22186289	8.77	25.5	5.505127892	1000G
GPR25	6	12.82216667	13.71	2.816184301	22.82814903	0.52	27.2	0.438253194	1000G
GPR26	11	18.85236364	21.8	6.045456421	31.65927085	8.816	23.7	1.655309441	1000G
GPR27	7	20.42142857	21.2	17.53468659	23.30817055	16.18	24.6	5.985399576	1000G
GPR3	11	18.35809091	24.1	0.088	45.40253084	0.088	32	2.921461878	1000G
GPR31	27	14.97188889	14.05	0.087	35.98509398	0.087	34	2.917857593	1000G
GPR32	22	7.362545455	3.978	0.006	27.74038469	0.006	24.5	2.407196215	1000G
GPR34	3	3.917	4.309	0.001	8.452808434	0.001	7.441	2.39026184	1000G
GPR35	31	11.09716129	8.487	0.003	37.76421867	0.003	37	2.39703559	1000G
GPR37	33	18.53245455	20.7	0.582	37.21853317	0.582	32	4.701978576	1000G
GPR37L1	30	19.51316667	19.75	0.697	41.06713097	0.697	32	5.116471329	1000G
GPR39	40	16.570175	16.895	0.056	42.19373039	0.056	35	2.806124764	1000G
GPR4	5	15.025	20.4	6.034634409	24.01536559	2.278	22	1.651230814	1000G
GPR42	12	11.22408333	12.78	0.017	34.80608275	0.017	25	2.665557656	1000G
GPR45	18	21.5925	22.45	2.365526984	40.81947302	1.586	29.6	0.268408325	1000G
GPR50	28	10.76371429	13.91	0.002	30.55737282	0.002	24.2	2.393648715	1000G
GPR50-AS1	28	10.76371429	13.91	0.002	30.55737282	0.002	24.2	2.393648715	1000G
GPR52	18	23.37944444	23.55	9.279277372	37.47961152	10.56	33	2.874080063	1000G
GPR55	19	15.45847368	18.17	0.004	43.41762687	0.004	35	2.400422465	1000G
GPR6	17	19.12117647	19.83	2.74764569	35.49470725	4.815	29.2	0.412422189	1000G
GPR61	16	22.9	22.8	9.498216085	36.30178391	14.03	32	2.956594239	1000G
GPR62	25	23.73688	24.9	2.592867634	44.88089237	3.05	40	0.354089044	1000G
GPR63	19	23.04210526	24.6	11.34781759	34.73639293	14.25	32	3.653676735	1000G
GPR65	14	14.4945	16.04	0.653	34.05856722	0.653	26	4.957882798	1000G
GPR75	26	19.98976923	22	1.215816976	38.76372149	0.259	35	6.986435476	1000G
GPR78	124	18.97002419	19.73	0.002	47.65580559	0.002	60	2.393648715	1000G
GPR82	9	16.08311111	18.95	8.434729074	23.73149315	0.024	29.3	2.555784563	1000G
GPR83	37	19.75991892	21	3.01	43.37502132	3.01	41	0.511298945	1000G
GPR84	30	21.2111	22.85	0.04	44.20423316	0.04	38	2.748456207	1000G
GPR84-AS1	110	21.46361818	22.35	1.598849301	41.32838706	0.04	43	1.598849301	1000G
GPR87	26	17.32715385	20.4	1.36	38.08975156	1.36	27.1	7.506112161	1000G
GPR88	5	19.146	18.84	14.73995773	23.55204227	15.17	26.2	4.93211509	1000G
GPR89A	30	20.92283333	21.55	2.022252484	39.82341418	0.047	36	0.139034162	1000G
GPR89B	10	27.54	28	7.62892279	47.45107721	12.1	38	2.252090252	1000G
GPRACR	7	0.776428571	0.659	0.086622215	1.466234928	0.076	2.348	2.916495947	1000G
GPRASP1	45	11.14924444	12.39	0.002	33.8966652	0.002	24.5	2.393648715	1000G
GPRASP2	33	12.01187879	13.87	0.192	31.61282538	0.192	24.1	3.296307498	1000G
GPRASP3	35	12.26002857	14.34	0.192	32.33590147	0.192	24.9	3.296307498	1000G
GPRC5A	28	17.66782143	20.6	0.241	38.03841159	0.241	26.4	3.472917454	1000G
GPRC5B	27	22.83325926	23.4	10.09988383	35.56663469	7.018	29.9	3.1833523	1000G
GPRC5C	41	18.21746341	20.5	0.031	40.79557061	0.031	32	2.716017643	1000G
GPRC5D	23	18.66665217	16.92	2.329	38.80996148	2.329	36	0.254641942	1000G
GPRC5D-AS1	38	19.46157895	21.85	0.238757902	38.68439999	2.329	36	3.464836295	1000G
GPRC6A	57	17.48421053	20.8	0.015	39.82020175	0.015	37	2.658349086	1000G
GPRIN1	67	11.86068657	13.96	0.004	31.74259006	0.004	27.2	2.400422465	1000G
GPRIN2	67	15.74246269	18.43	0.008	39.62600462	0.008	29.3	2.413969965	1000G
GPRIN3	58	10.90272414	10.341	0.006	34.52530362	0.006	37	2.407196215	1000G
GPS1	50	20.46242	21.1	0.420013979	40.50482602	3.659	36	4.118134819	1000G
GPS2	23	23.2426087	23.9	15.65569497	30.82952242	16.52	29.1	5.277240458	1000G
GPSM3	37	22.72054054	22.6	6.278731458	39.16234962	13.33	47	1.743226727	1000G
GPX1	9	24.83444444	25.4	22.0623857	27.60650319	18.41	28.7	7.691810269	1000G
GPX2	14	25.42857143	24	13.87730168	36.97984118	20.7	37	4.606995096	1000G
GPX3	15	22.8642	22.9	0.123	47.90847233	0.123	43	3.047611846	1000G
GPX5	9	20.48655556	24.6	13.06940773	27.90370338	0.129	28.3	4.302513982	1000G
GPX6	20	19.14395	22.7	0.033	45.68476872	0.033	37	2.723226213	1000G
GPX7	10	26.029	25.5	15.58568167	36.47231833	19.19	34	5.250853671	1000G
GPX8	3	27.23333333	26.4	25.04654567	29.420121	26	29.3	8.816488029	1000G
GRAMD1B	35	22.19045714	23.7	2.158746678	42.22216761	0.304	32	0.19047644	1000G
GRAMD1C	44	20.80543182	22.15	0.259	44.03835563	0.259	37	3.537794581	1000G
GRAMD2B	13	15.91630769	18.89	0.069	41.86827799	0.069	27.8	2.852980466	1000G
GRAMD4	19	19.23352632	20.3	2.449	39.51078517	2.449	32	0.299867846	1000G
GRAP	16	21.1704375	21.55	5.427749768	36.91312523	6.017	34	1.422506595	1000G
GRAP2	13	21.83384615	22.9	5.58	46.00648595	5.58	43	1.479887047	1000G
GRB10	24	18.87804167	20.235	0.024	40.95427036	0.024	35	2.69078765	1000G
GRB14	33	22.51090909	22.9	13.77847046	31.24334772	13.4	27.6	4.569747337	1000G
GRB7	42	21.62290476	23.65	5.89879292	37.3470166	3.166	34	1.600034529	1000G
GREB1	108	19.06243519	21.75	0.006	41.08326801	0.006	39	2.407196215	1000G
GREM1	4	19.96	19.515	18.52928391	21.39071609	19.01	21.8	6.360245928	1000G
GRHL1	24	22.47820833	21.05	4.007661788	40.94875488	8.357	34	0.887300244	1000G
GRID1	47	26.39191489	25.9	15.74179945	37.04203033	14.68	34	5.309691735	1000G
GRID1-AS1	10	25.774	26	16.47098175	35.07701825	19.54	32	5.584507803	1000G
GRID2IP	55	20.63121818	23.4	1.088387557	40.17404881	0.138	29.4	6.527143558	1000G
GRIK3	28	26.24642857	25.9	15.55850558	36.93435157	17.32	34	5.240611475	1000G
GRIK4	50	24.5962	24.4	8.739944419	40.45245558	6.086	34	2.670814895	1000G
GRIK5	41	27.45512195	27.4	16.37047251	38.53977139	19.12	42	5.546627626	1000G
GRINA	26	16.20530769	19.115	0.194	37.08160269	0.194	31	3.303516068	1000G
GRIP2	4	13.52625	11.9985	6.146700868	20.90579913	7.708	22.4	1.693466704	1000G
GRIPAP1	33	20.14187879	21.5	5.329441207	34.95431637	0.421	27.1	1.385455816	1000G
GRK3	16	23.7591875	25.5	6.56584504	40.95252996	1.037	29.6	1.85143482	1000G
GRK4	43	15.99634884	18	0.006	40.91306361	0.006	29.9	2.407196215	1000G
GRK5	34	22.37355882	23.15	4.936264225	39.81085342	0.691	33	1.23727428	1000G
GRK7	39	19.54033333	22.5	0.079	41.6263567	0.079	37	2.889023314	1000G
GRM2	40	20.967925	21.25	2.546276234	39.38957377	5.444	37	0.336529559	1000G
GRM3	19	24.00210526	23.3	14.67616304	33.32804749	17.84	31	4.908071986	1000G
GRM3-AS1	4	26.3	25.7	21.90502074	30.69497926	22.8	31	7.632502165	1000G
GRM4	41	26.88158537	27.3	11.465743	42.29742774	0.005	34	3.698120759	1000G
GRM5	41	21.95268293	23.6	2.354293234	41.55107262	4.417	37	0.264174521	1000G
GRM5-AS1	18	17.41833333	16.91	4.417	39.48961529	4.417	37	1.041572665	1000G
GRM8	47	24.35129787	24.9	10.63075851	38.07183724	7.121	36	3.383429692	1000G
GRP	5	15.6132	15.12	8.299240125	22.92715987	5.816	22.9	2.504721145	1000G
GRPEL1	21	21.26571429	22.3	9.875081583	32.65634699	11.03	27.9	3.098628261	1000G
GRPEL2	9	17.44777778	21.1	9.53463023	25.36092533	0.238	25.9	2.970318094	1000G
GRPEL2-AS1	10	18.803	22.4	0.238	43.64001898	0.238	31	3.4621046	1000G
GRPR	12	14.16508333	17.625	0.667	32.65890897	0.667	21.9	5.008342785	1000G
GRSF1	21	22.89666667	23	5.585775339	40.20755799	11.12	42	1.482063672	1000G
GRTP1	46	18.40952174	22.45	0.013	42.81143006	0.013	33	2.651140517	1000G
GRTP1-AS1	13	21.342	23.7	1.795862116	40.88813788	0.826	28	0.053711588	1000G
GS1-24F4.2	20	15.11795	16.265	0.001	40.65957403	0.001	37	2.39026184	1000G
GS1-600G8.3	19	14.19168421	15.95	0.341	40.74645519	0.341	34	3.833345936	1000G
GSAP	33	18.09545455	20.8	0.005	40.68222885	0.005	43	2.40380934	1000G
GSC2	17	18.90047059	19.3	0.002	44.02562331	0.002	35	2.393648715	1000G
GSDMA	29	20.43113793	23.4	0.052	42.29728351	0.052	34	2.791707624	1000G
GSDMB	27	13.81518519	15.32	0.001	36.78903884	0.001	31	2.39026184	1000G
GSDMC	34	10.26023529	8.5065	0.002	36.43946152	0.002	39	2.393648715	1000G
GSDMD	48	13.51752083	14.72	0.002	38.4338816	0.002	32	2.393648715	1000G
GSE1	134	21.04058209	22.95	1.806308354	40.27485583	0.001	33	0.057648592	1000G
GSG1	22	18.26677273	19.855	0.276	43.0669016	0.276	38	3.599067423	1000G
GSG1L	14	20.34857143	21.7	3.580154819	37.11698804	10.72	32	0.726180336	1000G
GSG1L2	21	16.29309524	21.5	0.045	50.85652447	0.045	50	2.766477631	1000G
GSK3B	17	22.02347059	22.8	2.039958731	42.00698245	3.507	32	0.145707338	1000G
GSKIP	5	19.874	21.8	16.26279682	23.48520318	15.98	23.3	5.50604654	1000G
GSPT1	12	23.09833333	22.7	10.6068455	35.58982116	16.31	32	3.374417299	1000G
GSPT2	10	16.6357	17.905	1.069364348	32.20203565	6.782	23.9	6.458578495	1000G
GSTA1	16	12.3675	13.62	0.001	35.50340614	0.001	25.1	2.39026184	1000G
GSTA11P	2	23	23	22.08930682	23.91069318	22.5	23.5	7.701956369	1000G
GSTA2	19	20.58705263	22.1	2.152	42.49692503	2.152	41	0.187933735	1000G
GSTA3	19	19.92052632	22.8	0.51028454	39.33076809	0.215	25.9	4.443495632	1000G
GSTA4	11	19.72727273	20.7	4.96657923	34.48796622	11.54	31	1.248699476	1000G
GSTA5	21	22.634	22.6	3.512742041	41.75525796	5.428	34	0.700773638	1000G
GSTCD	22	20.50204545	24.35	1.284	43.7154002	1.284	32	7.232186515	1000G
GSTK1	22	18.72972727	22.6	0.016	43.4250038	0.016	33	2.661953371	1000G
GSTM1	23	15.861	17.02	0.109	38.20960653	0.109	34	2.997151859	1000G
GSTM2	35	18.13602857	19.2	0.038	41.45501519	0.038	36	2.741247637	1000G
GSTM3	13	20.80369231	23.1	0.008	44.97684072	0.008	33	2.413969965	1000G
GSTM4	30	20.25436667	22.7	0.038	42.53714397	0.038	36	2.741247637	1000G
GSTM5	75	16.09876	17.02	0.008	41.04085048	0.008	34	2.413969965	1000G
GSTO2	20	19.42265	20.35	0.038	40.4328017	0.038	35	2.741247637	1000G
GSTP1	17	23.82452941	21.5	3.291675516	44.35738331	7.637	44	0.617457527	1000G
GSTP1P1	3	20.36666667	22.2	16.19143296	24.54190037	16.4	22.5	5.47915075	1000G
GSTT2	9	13.43622222	12.51	5.75463076	21.11781368	0.588	24.2	1.54570233	1000G
GSTT2B	7	11.12571429	8.2	2.750625481	19.50080309	0.214	22	0.41354522	1000G
GSTT3P	9	13.43622222	12.51	5.75463076	21.11781368	0.588	24.2	1.54570233	1000G
GSX1	10	22.257	21.9	14.64887009	29.86512991	18.37	28.4	4.89778575	1000G
GTDC1	35	19.18105714	22.3	0.049	45.94640777	0.049	36	2.78089477	1000G
GTF2A1	11	21.36545455	21.3	12.52879089	30.2021182	14.03	29	4.09876494	1000G
GTF2A1-AS1	3	23.43	21.7	17.43425969	29.42574031	19.59	29	5.94755043	1000G
GTF2B	7	29.04285714	26.7	22.66915044	35.41656385	22.8	44	7.9204893	1000G
GTF2E1	30	23.05166667	24	11.22019713	34.8831362	13.52	33	3.605578811	1000G
GTF2F1	56	20.17669643	23.4	0.011	44.55099382	0.011	32	2.643931947	1000G
GTF2F2	16	21.226875	20.8	9.137397366	33.31635263	11.2	32	2.820607967	1000G
GTF2H1	23	23.29617391	23.4	12.02455065	34.56779717	9.252	29.8	3.908725603	1000G
GTF2H2	8	26.2675	25.9	19.1490946	33.3859054	16.68	43	6.593841751	1000G
GTF2H2C	10	27.21	27.45	19.86057623	34.55942377	23.5	32	6.861986747	1000G
GTF2I	14	23.11078571	24.3	5.975817449	40.24575398	1.741	32	1.629063729	1000G
GTF2I-AS1	8	21.193875	24.05	14.03274466	28.35500534	1.741	28.3	4.665578841	1000G
GTF2IP14	2	16.425	16.425	15.43234443	17.41765557	15.88	16.97	5.193063542	1000G
GTF2IRD1P1	11	22.19636364	21.6	10.75085479	33.64187248	16.44	32	3.428691884	1000G
GTF2IRD2	35	21.80437143	22.8	4.81986429	38.78887857	0.003	36	1.193405178	1000G
GTF2IRD2B	27	19.05018519	21.8	0.136	38.66707789	0.136	28.6	3.094467549	1000G
GTF3AP2	8	23.58125	23.65	21.05315999	26.10934001	19.55	28.9	7.311450732	1000G
GTF3C1	76	15.03275	16.205	0.046	41.00432273	0.046	42	2.770081915	1000G
GTF3C2-AS1	15	18.7814	20.7	0.681	39.22354801	0.681	29.9	5.058802772	1000G
GTF3C3	15	21.96266667	23.8	3.895004831	40.0303285	0.82	30	0.844841805	1000G
GTF3C4	34	14.86708824	16.64	0.408	37.17009788	0.408	37	4.074833018	1000G
GTF3C5	33	20.46760606	22.9	0.647445899	40.28776622	0.481	35	4.937864236	1000G
GTF3C6	7	18.82714286	18.5	15.7169381	21.93734761	14.24	23	5.300321926	1000G
GTPBP10	14	25.46071429	26.3	12.98113759	37.94029098	17.38	37	4.269246507	1000G
GTPBP4	64	20.69825	21.85	0.055	41.67765635	0.055	38	2.802520479	1000G
GTPBP6	36	13.63616667	16.38	0.051	33.44568346	0.051	23.5	2.78810334	1000G
GTSCR1	7	1.925857143	1.362	0.482979436	3.368734849	0.281	4.174	4.345080262	1000G
GTSE1-DT	2	21.27	21.27	8.465653835	34.07434617	14.24	28.3	2.567439565	1000G
GTSF1	10	22.781	22.2	1.990957021	43.57104298	10.47	43	0.127239449	1000G
GTSF1L	16	15.48925	19.075	0.003	38.9021325	0.003	25.7	2.39703559	1000G
GUCA1C	10	17.9957	18.985	5.368	40.00711891	5.368	35	1.399987951	1000G
GUCA2A	19	18.42736842	22.1	0.067	45.99505312	0.067	36	2.845771897	1000G
GUCA2B	8	14.5675	13.76	7.674724524	21.46027548	0.01	28.3	2.269352125	1000G
GUCD1	10	21.5368	24.3	6.529	43.40998685	6.529	32	1.837548568	1000G
GUCY1A2	21	18.62119048	21.6	0.969	43.48442906	0.969	38	6.096836799	1000G
GUCY1B1	16	23.075625	23.25	14.11093888	32.04031112	16	27.8	4.695048877	1000G
GUCY2F	45	20.71993333	22.5	3.083378675	38.35648799	0.017	35	0.538954086	1000G
GULP1	12	26.725	25.7	13.33104882	40.11895118	20.1	39	4.401121937	1000G
GUSBP1	2	22.3	22.3	22.3	22.3	22.3	22.3	7.781362949	1000G
GUSBP11	43	10.69686047	9.11	0.161	30.17151558	0.161	33	3.184574669	1000G
GVQW3	18	11.18922222	8.926	0.366	36.26850561	0.366	26.1	3.923453056	1000G
GXYLT1	15	20.66033333	22.2	4.893245807	36.42742086	5.415	29.3	1.22106139	1000G
GXYLT2	27	23.35759259	23.9	0.123	50.05200685	0.123	49	3.047611846	1000G
GYG2	24	13.43929167	15.63	0.008	38.44002413	0.008	31	2.413969965	1000G
GYG2-AS1	7	21.27857143	21.8	15.97747322	26.57966964	13.48	31	5.398513059	1000G
GYPC	13	14.30761538	19.18	0.184	44.17764997	0.184	29.7	3.26747322	1000G
GYPE	5	2.1408	0.705	0.02	4.945318223	0.02	6.343	2.67637051	1000G
GZMA	21	15.48095238	17.19	0.011	40.60528759	0.011	29.2	2.643931947	1000G
GZMH	20	12.3988	18.255	0.004	40.75235844	0.004	24.5	2.400422465	1000G
GZMK	20	19.4364	19.91	0.316	40.83413062	0.316	39	3.743238815	1000G
GZMM	41	16.23982927	17.95	0.012	39.92421693	0.012	37	2.647536232	1000G
H1-0	17	21.07470588	20.5	7.721	43.03889558	7.721	40	2.286792544	1000G
H1-1	38	21.62507895	22.6	2.830813084	40.41934481	3.687	40	0.443766527	1000G
H1-10	8	18.40375	19.015	14.36912497	22.43837503	11.15	24.1	4.792354701	1000G
H1-10-AS1	8	18.40375	19.015	14.36912497	22.43837503	11.15	24.1	4.792354701	1000G
H1-12P	20	24.332	22.65	10.5265507	38.1374493	19.44	40	3.34415559	1000G
H1-2	52	19.83626923	20.45	7.51974269	32.15279577	5.621	27.8	2.21094218	1000G
H1-3	51	17.9414902	18.22	4.245794781	31.63718561	1.177	27.6	0.977048409	1000G
H1-5	35	19.38834286	20.5	4.49501961	34.2816661	0.058	26.8	1.070976893	1000G
H1-7	16	11.190125	12.655	0.006	29.80709367	0.006	23.5	2.407196215	1000G
H1-8	19	11.78647368	6.268	0.003	40.43472526	0.003	31	2.39703559	1000G
H2AC1	21	17.22604762	19.43	2.334059148	32.11803609	0.291	22.7	0.256548647	1000G
H2AC10P	16	26.918125	25.85	12.44542451	41.39082549	18.69	39	4.067345607	1000G
H2AC11	26	21.02384615	20.25	10.9489815	31.09871081	13.16	35	3.503362379	1000G
H2AC12	19	23.80352632	23.2	3.536799896	44.07025274	1.237	39	0.709840623	1000G
H2AC13	18	23.84444444	23.1	17.51326874	30.17562015	20.5	29.3	5.977327561	1000G
H2AC14	17	21.01588235	22.1	11.58467964	30.44708506	14.11	25.8	3.742945903	1000G
H2AC15	15	23.31533333	23.2	12.53656284	34.09410382	18.12	37	4.101694052	1000G
H2AC16	30	18.76306667	19.81	3.412849705	34.11328363	0.058	26.8	0.663125961	1000G
H2AC17	16	20.83625	19.675	7.621536852	34.05096315	15.07	36	2.249306621	1000G
H2AC20	7	25.35714286	25.3	23.33973881	27.3745469	21.7	29.2	8.173222343	1000G
H2AC21	7	25.35714286	25.3	23.33973881	27.3745469	21.7	29.2	8.173222343	1000G
H2AC25	13	25.14230769	24.9	14.08606357	36.19855181	19.29	37	4.685673806	1000G
H2AC4	18	23.96555556	23.7	11.98576382	35.94534729	12.78	39	3.894107521	1000G
H2AC5P	14	22.96	22.85	15.01478781	30.90521219	18.41	28.3	5.035693748	1000G
H2AC6	12	24.30833333	23.2	13.23353618	35.38313049	20.2	36	4.364371126	1000G
H2AC7	20	24.332	22.65	10.5265507	38.1374493	19.44	40	3.34415559	1000G
H2AC8	8	21.20125	21.1	20.22325671	22.17924329	19.76	23.2	6.998674682	1000G
H2AC9P	51	17.9414902	18.22	4.245794781	31.63718561	1.177	27.6	0.977048409	1000G
H2AJ	15	23.92	24	20.59435265	27.24564735	22	27	7.13853426	1000G
H2AL3	11	4.750363636	0.494	0.002	20.06602985	0.002	15.94	2.393648715	1000G
H2AP	11	4.750363636	0.494	0.002	20.06602985	0.002	15.94	2.393648715	1000G
H2AZ1-DT	17	22.14235294	22.5	7.545879706	36.73882618	11.56	39	2.220792765	1000G
H2BC1	21	17.22604762	19.43	2.334059148	32.11803609	0.291	22.7	0.256548647	1000G
H2BC10	16	26.918125	25.85	12.44542451	41.39082549	18.69	39	4.067345607	1000G
H2BC11	26	21.02384615	20.25	10.9489815	31.09871081	13.16	35	3.503362379	1000G
H2BC12	19	23.80352632	23.2	3.536799896	44.07025274	1.237	39	0.709840623	1000G
H2BC13	18	23.84444444	23.1	17.51326874	30.17562015	20.5	29.3	5.977327561	1000G
H2BC14	17	21.01588235	22.1	11.58467964	30.44708506	14.11	25.8	3.742945903	1000G
H2BC15	16	22.324375	22.75	7.948965633	36.69978437	7.46	37	2.372708809	1000G
H2BC16P	30	18.76306667	19.81	3.412849705	34.11328363	0.058	26.8	0.663125961	1000G
H2BC17	16	20.83625	19.675	7.621536852	34.05096315	15.07	36	2.249306621	1000G
H2BC18	38	17.25252632	20.6	0.003	45.95273256	0.003	41	2.39703559	1000G
H2BC21	7	25.35714286	25.3	23.33973881	27.3745469	21.7	29.2	8.173222343	1000G
H2BC26	13	25.14230769	24.9	14.08606357	36.19855181	19.29	37	4.685673806	1000G
H2BC2P	9	14.81188889	18.02	8.506661202	21.11711658	0.291	22.3	2.582894526	1000G
H2BC3	14	22.96	22.85	15.01478781	30.90521219	18.41	28.3	5.035693748	1000G
H2BC6	23	23.91956522	23	10.38898878	37.45014165	14.23	38	3.292310906	1000G
H2BC8	8	21.20125	21.1	20.22325671	22.17924329	19.76	23.2	6.998674682	1000G
H2BC9	20	22.788	21.95	8.97982837	36.59617163	15.88	38	2.761222965	1000G
H2BK1	3	19.94333333	17.56	6.514477102	33.37218956	10.27	32	1.832075142	1000G
H2BP2	12	26.56083333	26.4	14.86880743	38.25285924	17.83	36	4.980676291	1000G
H2BW1	23	5.728826087	2.715	0.018	21.78237906	0.018	23.2	2.669161941	1000G
H2BW2	15	6.828933333	2.266	0.119	25.00731897	0.119	18.77	3.033194707	1000G
H3-4	25	23.0764	22.6	9.938054687	36.21474531	14.85	39	3.122361724	1000G
H3-5	5	19.536	20.5	17.52474603	21.54725397	16.78	21.6	5.981653152	1000G
H3-7	12	26.56083333	26.4	14.86880743	38.25285924	17.83	36	4.980676291	1000G
H3C1	38	21.62507895	22.6	2.830813084	40.41934481	3.687	40	0.443766527	1000G
H3C10	31	22.47645161	22.3	13.34347582	31.6094274	14.11	29.3	4.405805457	1000G
H3C11	36	19.94088889	20.8	4.369944695	35.51183308	0.058	28	1.023838342	1000G
H3C12	16	20.83625	19.675	7.621536852	34.05096315	15.07	36	2.249306621	1000G
H3C13	12	26.56666667	24.5	13.06122356	40.07210978	22	41	4.299429509	1000G
H3C2	29	24.08275862	23.7	12.09516953	36.07034771	12.78	39	3.935340623	1000G
H3C3	14	22.96	22.85	15.01478781	30.90521219	18.41	28.3	5.035693748	1000G
H3C4	20	24.332	22.65	10.5265507	38.1374493	19.44	40	3.34415559	1000G
H3C5P	8	21.20125	21.1	20.22325671	22.17924329	19.76	23.2	6.998674682	1000G
H3C6	13	23.34307692	22.6	11.99224157	34.69391227	16.84	37	3.896548874	1000G
H3C7	20	22.788	21.95	8.97982837	36.59617163	15.88	38	2.761222965	1000G
H3C8	16	26.918125	25.85	12.44542451	41.39082549	18.69	39	4.067345607	1000G
H3P13	3	28.43333333	28.1	20.65418353	36.21248314	22.2	35	7.161083472	1000G
H3P14	4	16.371	19.135	2.053198135	30.68880187	0.014	27.2	0.150697038	1000G
H3P16	4	24.275	24.6	21.63968775	26.91031225	21.1	26.8	7.532502796	1000G
H3P26	34	20.6045	22.35	3.45949699	37.74950301	3.687	38	0.680706508	1000G
H3P31	4	23.2125	20.11	14.16769182	32.25730818	17.63	35	4.716438068	1000G
H3P44	2	10.0485	10.0485	0.177	28.02831553	0.177	19.92	3.242243226	1000G
H4C1	41	21.79641463	22.7	3.628578499	39.96425077	3.687	40	0.744430375	1000G
H4C10P	18	23.84444444	23.1	17.51326874	30.17562015	20.5	29.3	5.977327561	1000G
H4C12	7	24.14285714	25.3	19.14844594	29.13726835	17.19	32	6.59359728	1000G
H4C13	12	23.925	23.95	18.11449677	29.73550323	20.2	28	6.203919902	1000G
